Name,GeoID,Gini Index
"Jefferson County, Arkansas",05000US05069,0.4649
"Johnson County, Arkansas",05000US05071,0.4924
"Lafayette County, Arkansas",05000US05073,0.4774
"Lawrence County, Arkansas",05000US05075,0.4081
"Lee County, Arkansas",05000US05077,0.4493
"Lincoln County, Arkansas",05000US05079,0.4876
"Little River County, Arkansas",05000US05081,0.4026
"Logan County, Arkansas",05000US05083,0.4308
"Lonoke County, Arkansas",05000US05085,0.3874
"Madison County, Arkansas",05000US05087,0.4503
"Marion County, Arkansas",05000US05089,0.4196
"Miller County, Arkansas",05000US05091,0.4252
"Mississippi County, Arkansas",05000US05093,0.4656
"Monroe County, Arkansas",05000US05095,0.4762
"Montgomery County, Arkansas",05000US05097,0.4733
"Nevada County, Arkansas",05000US05099,0.4736
"Newton County, Arkansas",05000US05101,0.4736
"Ouachita County, Arkansas",05000US05103,0.4447
"Perry County, Arkansas",05000US05105,0.4439
"Phillips County, Arkansas",05000US05107,0.4849
"Pike County, Arkansas",05000US05109,0.4401
"Poinsett County, Arkansas",05000US05111,0.4518
"Polk County, Arkansas",05000US05113,0.4608
"Pope County, Arkansas",05000US05115,0.4263
"Prairie County, Arkansas",05000US05117,0.4188
"Pulaski County, Arkansas",05000US05119,0.4863
"Randolph County, Arkansas",05000US05121,0.4599
"St. Francis County, Arkansas",05000US05123,0.4728
"Saline County, Arkansas",05000US05125,0.3889
"Scott County, Arkansas",05000US05127,0.4397
"Searcy County, Arkansas",05000US05129,0.4084
"Sebastian County, Arkansas",05000US05131,0.4779
"Sevier County, Arkansas",05000US05133,0.4156
"Sharp County, Arkansas",05000US05135,0.3976
"Stone County, Arkansas",05000US05137,0.4366
"Union County, Arkansas",05000US05139,0.4665
"Van Buren County, Arkansas",05000US05141,0.4401
"Washington County, Arkansas",05000US05143,0.4786
"White County, Arkansas",05000US05145,0.4553
"Woodruff County, Arkansas",05000US05147,0.5209
"Yell County, Arkansas",05000US05149,0.4197
"Apache County, Arizona",05000US04001,0.4845
"Cochise County, Arizona",05000US04003,0.44
"Coconino County, Arizona",05000US04005,0.4508
"Gila County, Arizona",05000US04007,0.4379
"Graham County, Arizona",05000US04009,0.4281
"Greenlee County, Arizona",05000US04011,0.362
"La Paz County, Arizona",05000US04012,0.4178
"Maricopa County, Arizona",05000US04013,0.4559
"Mohave County, Arizona",05000US04015,0.4307
"Navajo County, Arizona",05000US04017,0.4617
"Pima County, Arizona",05000US04019,0.4653
"Pinal County, Arizona",05000US04021,0.3987
"Santa Cruz County, Arizona",05000US04023,0.4713
"Yavapai County, Arizona",05000US04025,0.461
"Yuma County, Arizona",05000US04027,0.4211
"Alameda County, California",05000US06001,0.4634
"Alpine County, California",05000US06003,0.4279
"Amador County, California",05000US06005,0.4384
"Butte County, California",05000US06007,0.4538
"Calaveras County, California",05000US06009,0.4284
"Colusa County, California",05000US06011,0.4131
"Contra Costa County, California",05000US06013,0.4564
"Del Norte County, California",05000US06015,0.4618
"El Dorado County, California",05000US06017,0.4248
"Fresno County, California",05000US06019,0.4687
"Glenn County, California",05000US06021,0.4823
"Humboldt County, California",05000US06023,0.4713
"Imperial County, California",05000US06025,0.4694
"Inyo County, California",05000US06027,0.426
"Kern County, California",05000US06029,0.4552
"Kings County, California",05000US06031,0.4362
"Lake County, California",05000US06033,0.4596
"Lassen County, California",05000US06035,0.4185
"Los Angeles County, California",05000US06037,0.4951
"Madera County, California",05000US06039,0.4356
"Marin County, California",05000US06041,0.5067
"Mariposa County, California",05000US06043,0.4224
"Mendocino County, California",05000US06045,0.4452
"Merced County, California",05000US06047,0.4652
"Modoc County, California",05000US06049,0.4221
"Mono County, California",05000US06051,0.3719
"Monterey County, California",05000US06053,0.4452
"Napa County, California",05000US06055,0.4604
"Nevada County, California",05000US06057,0.4401
"Orange County, California",05000US06059,0.4582
"Placer County, California",05000US06061,0.4246
"Plumas County, California",05000US06063,0.4459
"Riverside County, California",05000US06065,0.4397
"Sacramento County, California",05000US06067,0.4392
"San Benito County, California",05000US06069,0.4179
"San Bernardino County, California",05000US06071,0.4328
"San Diego County, California",05000US06073,0.4578
"San Francisco County, California",05000US06075,0.5135
"San Joaquin County, California",05000US06077,0.4413
"San Luis Obispo County, California",05000US06079,0.4487
"San Mateo County, California",05000US06081,0.4765
"Santa Barbara County, California",05000US06083,0.4739
"Santa Clara County, California",05000US06085,0.4543
"Santa Cruz County, California",05000US06087,0.4633
"Shasta County, California",05000US06089,0.4478
"Sierra County, California",05000US06091,0.4341
"Siskiyou County, California",05000US06093,0.4503
"Solano County, California",05000US06095,0.4125
"Sonoma County, California",05000US06097,0.4469
"Stanislaus County, California",05000US06099,0.4458
"Sutter County, California",05000US06101,0.4403
"Tehama County, California",05000US06103,0.4317
"Trinity County, California",05000US06105,0.4417
"Tulare County, California",05000US06107,0.4478
"Tuolumne County, California",05000US06109,0.4401
"Ventura County, California",05000US06111,0.4384
"Yolo County, California",05000US06113,0.4679
"Yuba County, California",05000US06115,0.4154
"Adams County, Colorado",05000US08001,0.3984
"Alamosa County, Colorado",05000US08003,0.5004
"Arapahoe County, Colorado",05000US08005,0.4654
"Archuleta County, Colorado",05000US08007,0.456
"Baca County, Colorado",05000US08009,0.451
"Bent County, Colorado",05000US08011,0.4259
"Boulder County, Colorado",05000US08013,0.4775
"Broomfield County, Colorado",05000US08014,0.4117
"Chaffee County, Colorado",05000US08015,0.4508
"Cheyenne County, Colorado",05000US08017,0.3858
"Clear Creek County, Colorado",05000US08019,0.453
"Conejos County, Colorado",05000US08021,0.4265
"Costilla County, Colorado",05000US08023,0.5111
"Crowley County, Colorado",05000US08025,0.4784
"Custer County, Colorado",05000US08027,0.4842
"Delta County, Colorado",05000US08029,0.4583
"Denver County, Colorado",05000US08031,0.506
"Dolores County, Colorado",05000US08033,0.4266
"Douglas County, Colorado",05000US08035,0.3859
"Eagle County, Colorado",05000US08037,0.4722
"Elbert County, Colorado",05000US08039,0.3789
"El Paso County, Colorado",05000US08041,0.4364
"Fremont County, Colorado",05000US08043,0.4206
"Garfield County, Colorado",05000US08045,0.3875
"Gilpin County, Colorado",05000US08047,0.4004
"Grand County, Colorado",05000US08049,0.3842
"Gunnison County, Colorado",05000US08051,0.4427
"Hinsdale County, Colorado",05000US08053,0.4246
"Huerfano County, Colorado",05000US08055,0.488
"Jackson County, Colorado",05000US08057,0.38
"Jefferson County, Colorado",05000US08059,0.4322
"Kiowa County, Colorado",05000US08061,0.4514
"Kit Carson County, Colorado",05000US08063,0.3852
"Lake County, Colorado",05000US08065,0.3925
"La Plata County, Colorado",05000US08067,0.4256
"Larimer County, Colorado",05000US08069,0.4479
"Las Animas County, Colorado",05000US08071,0.4358
"Lincoln County, Colorado",05000US08073,0.4464
"Logan County, Colorado",05000US08075,0.4305
"Mesa County, Colorado",05000US08077,0.4424
"Mineral County, Colorado",05000US08079,0.5549
"Moffat County, Colorado",05000US08081,0.3926
"Montezuma County, Colorado",05000US08083,0.4541
"Montrose County, Colorado",05000US08085,0.403
"Morgan County, Colorado",05000US08087,0.4108
"Otero County, Colorado",05000US08089,0.4552
"Ouray County, Colorado",05000US08091,0.4074
"Park County, Colorado",05000US08093,0.3574
"Phillips County, Colorado",05000US08095,0.3879
"Pitkin County, Colorado",05000US08097,0.5437
"Prowers County, Colorado",05000US08099,0.4553
"Pueblo County, Colorado",05000US08101,0.4484
"Rio Blanco County, Colorado",05000US08103,0.3818
"Rio Grande County, Colorado",05000US08105,0.4471
"Routt County, Colorado",05000US08107,0.4293
"Saguache County, Colorado",05000US08109,0.4838
"San Juan County, Colorado",05000US08111,0.347
"San Miguel County, Colorado",05000US08113,0.5106
"Sedgwick County, Colorado",05000US08115,0.4222
"Summit County, Colorado",05000US08117,0.4088
"Teller County, Colorado",05000US08119,0.3958
"Washington County, Colorado",05000US08121,0.4234
"Weld County, Colorado",05000US08123,0.4235
"Yuma County, Colorado",05000US08125,0.4186
"Fairfield County, Connecticut",05000US09001,0.5376
"Hartford County, Connecticut",05000US09003,0.4635
"Litchfield County, Connecticut",05000US09005,0.4353
"Middlesex County, Connecticut",05000US09007,0.4337
"New Haven County, Connecticut",05000US09009,0.4592
"New London County, Connecticut",05000US09011,0.4216
"Tolland County, Connecticut",05000US09013,0.3925
"Windham County, Connecticut",05000US09015,0.4105
"District of Columbia, District of Columbia",05000US11001,0.5315
"Kent County, Delaware",05000US10001,0.395
"New Castle County, Delaware",05000US10003,0.444
"Sussex County, Delaware",05000US10005,0.428
"Alachua County, Florida",05000US12001,0.5101
"Baker County, Florida",05000US12003,0.4111
"Bay County, Florida",05000US12005,0.418
"Bradford County, Florida",05000US12007,0.4476
"Brevard County, Florida",05000US12009,0.443
"Broward County, Florida",05000US12011,0.4733
"Calhoun County, Florida",05000US12013,0.4405
"Charlotte County, Florida",05000US12015,0.4323
"Citrus County, Florida",05000US12017,0.4443
"Clay County, Florida",05000US12019,0.3982
"Collier County, Florida",05000US12021,0.5344
"Columbia County, Florida",05000US12023,0.4323
"DeSoto County, Florida",05000US12027,0.4228
"Dixie County, Florida",05000US12029,0.4061
"Duval County, Florida",05000US12031,0.4617
"Escambia County, Florida",05000US12033,0.4523
"Flagler County, Florida",05000US12035,0.4279
"Franklin County, Florida",05000US12037,0.4775
"Gadsden County, Florida",05000US12039,0.4899
"Gilchrist County, Florida",05000US12041,0.4772
"Glades County, Florida",05000US12043,0.4133
"Gulf County, Florida",05000US12045,0.4321
"Hamilton County, Florida",05000US12047,0.4894
"Hardee County, Florida",05000US12049,0.4339
"Hendry County, Florida",05000US12051,0.4415
"Hernando County, Florida",05000US12053,0.4137
"Highlands County, Florida",05000US12055,0.4304
"Hillsborough County, Florida",05000US12057,0.4726
"Holmes County, Florida",05000US12059,0.4166
"Indian River County, Florida",05000US12061,0.524
"Jackson County, Florida",05000US12063,0.4481
"Jefferson County, Florida",05000US12065,0.4408
"Lafayette County, Florida",05000US12067,0.4176
"Lake County, Florida",05000US12069,0.4319
"Lee County, Florida",05000US12071,0.4724
"Leon County, Florida",05000US12073,0.4894
"Levy County, Florida",05000US12075,0.4433
"Liberty County, Florida",05000US12077,0.4705
"Madison County, Florida",05000US12079,0.4415
"Manatee County, Florida",05000US12081,0.4599
"Marion County, Florida",05000US12083,0.4427
"Martin County, Florida",05000US12085,0.5156
"Miami-Dade County, Florida",05000US12086,0.5129
"Monroe County, Florida",05000US12087,0.499
"Nassau County, Florida",05000US12089,0.4486
"Okaloosa County, Florida",05000US12091,0.4243
"Okeechobee County, Florida",05000US12093,0.4653
"Orange County, Florida",05000US12095,0.4663
"Osceola County, Florida",05000US12097,0.4058
"Palm Beach County, Florida",05000US12099,0.5092
"Pasco County, Florida",05000US12101,0.4411
"Pinellas County, Florida",05000US12103,0.4702
"Polk County, Florida",05000US12105,0.4364
"Putnam County, Florida",05000US12107,0.4555
"St. Johns County, Florida",05000US12109,0.4848
"St. Lucie County, Florida",05000US12111,0.4422
"Santa Rosa County, Florida",05000US12113,0.4117
"Sarasota County, Florida",05000US12115,0.4827
"Seminole County, Florida",05000US12117,0.4503
"Sumter County, Florida",05000US12119,0.4078
"Suwannee County, Florida",05000US12121,0.4335
"Taylor County, Florida",05000US12123,0.4507
"Union County, Florida",05000US12125,0.3857
"Volusia County, Florida",05000US12127,0.4516
"Wakulla County, Florida",05000US12129,0.404
"Walton County, Florida",05000US12131,0.4796
"Washington County, Florida",05000US12133,0.4183
"Appling County, Georgia",05000US13001,0.4401
"Atkinson County, Georgia",05000US13003,0.4758
"Bacon County, Georgia",05000US13005,0.4526
"Baker County, Georgia",05000US13007,0.5303
"Baldwin County, Georgia",05000US13009,0.4828
"Banks County, Georgia",05000US13011,0.4372
"Barrow County, Georgia",05000US13013,0.3797
"Bartow County, Georgia",05000US13015,0.4226
