Name,GeoID,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
Michigan,04000US26,6588324.0,67390.0,704.0,933.0,1824.0,2834.0,7782.0,6460.0,9895.0,29625.0,19219.0,82162.0,85002.0,150214.0,169219.0,104733.0,1766599.0,261605.0,517247.0,1060640.0,555968.0,1037602.0,473641.0,112135.0,64891.0
Minnesota,04000US27,3560801.0,32628.0,263.0,488.0,1013.0,1324.0,3999.0,4617.0,4634.0,13312.0,6465.0,47802.0,27840.0,42549.0,50004.0,46971.0,849563.0,108680.0,233725.0,564041.0,368032.0,777339.0,258399.0,75781.0,41332.0
Mississippi,04000US28,1912708.0,28789.0,308.0,580.0,677.0,1078.0,4912.0,4744.0,6390.0,15446.0,18219.0,44553.0,44937.0,77750.0,74073.0,38474.0,471391.0,106882.0,112328.0,322366.0,159186.0,240726.0,95403.0,25780.0,17716.0
Missouri,04000US29,4008554.0,28001.0,204.0,649.0,1075.0,997.0,4974.0,4785.0,5598.0,16698.0,11845.0,82560.0,64852.0,105993.0,111983.0,58058.0,1079432.0,181191.0,291123.0,627191.0,286363.0,656222.0,278278.0,67613.0,42869.0
Montana,04000US30,676793.0,2055.0,113.0,5.0,63.0,165.0,207.0,602.0,438.0,848.0,722.0,8420.0,6604.0,11325.0,11896.0,8784.0,171737.0,34962.0,46558.0,123512.0,56859.0,132946.0,38774.0,10426.0,8772.0
Nebraska,04000US31,1196112.0,11100.0,23.0,85.0,256.0,1230.0,2572.0,1775.0,992.0,10324.0,2704.0,15638.0,14019.0,16796.0,16283.0,13967.0,308346.0,38877.0,90771.0,201676.0,114551.0,225822.0,73911.0,19852.0,14542.0
Nevada,04000US32,1810960.0,24159.0,268.0,337.0,1556.0,4886.0,7423.0,5067.0,7261.0,37326.0,8481.0,18919.0,35895.0,36757.0,55112.0,46672.0,456962.0,71430.0,127117.0,328769.0,129688.0,269461.0,90902.0,31897.0,14615.0
New Hampshire,04000US33,914207.0,5317.0,65.0,119.0,140.0,190.0,632.0,621.0,1021.0,1978.0,1896.0,14052.0,12118.0,15745.0,13713.0,11376.0,232985.0,34741.0,54370.0,121085.0,86730.0,191748.0,84488.0,14658.0,14419.0
New Jersey,04000US34,6004613.0,74208.0,605.0,1302.0,3829.0,10378.0,16842.0,21144.0,28153.0,65005.0,28469.0,84337.0,70194.0,99997.0,111720.0,96449.0,1613814.0,153403.0,298060.0,739513.0,368288.0,1322225.0,569427.0,138976.0,88275.0
New Mexico,04000US35,1354186.0,18721.0,129.0,190.0,1192.0,2615.0,7206.0,4563.0,6474.0,26695.0,9787.0,20771.0,27450.0,37047.0,39657.0,25228.0,302561.0,57067.0,79762.0,239896.0,101180.0,195527.0,102579.0,21793.0,26096.0
New York,04000US36,13197704.0,220785.0,1875.0,2468.0,8038.0,25000.0,47239.0,38282.0,76761.0,189886.0,79201.0,211012.0,209209.0,275527.0,308309.0,280674.0,3152002.0,483547.0,606814.0,1543477.0,1091931.0,2467536.0,1342831.0,356937.0,178363.0
North Carolina,04000US37,6399357.0,81271.0,296.0,615.0,4302.0,6794.0,13441.0,17863.0,23647.0,72557.0,44752.0,101210.0,146727.0,194978.0,180639.0,87546.0,1476234.0,269017.0,409587.0,986662.0,558745.0,1136478.0,417351.0,95066.0,73579.0
North Dakota,04000US38,448145.0,2115.0,0.0,135.0,0.0,325.0,107.0,208.0,186.0,969.0,1257.0,14749.0,3577.0,7730.0,5911.0,4320.0,105369.0,15319.0,30220.0,78995.0,58753.0,86615.0,21053.0,6100.0,4132.0
Ohio,04000US39,7749236.0,67243.0,506.0,749.0,2412.0,2888.0,5489.0,4963.0,9644.0,23612.0,23607.0,116460.0,105271.0,188905.0,225653.0,129103.0,2404732.0,291003.0,530907.0,1102519.0,602825.0,1196897.0,513723.0,120297.0,79828.0
Oklahoma,04000US40,2469196.0,22443.0,100.0,368.0,1061.0,3088.0,6093.0,5554.0,6007.0,26353.0,10875.0,35903.0,46606.0,60721.0,76741.0,36193.0,656408.0,118552.0,180001.0,415283.0,172761.0,396219.0,136076.0,32423.0,23367.0
Oregon,04000US41,2644754.0,25648.0,661.0,307.0,1196.0,2658.0,6133.0,4701.0,6843.0,25087.0,7463.0,29083.0,30760.0,44217.0,53317.0,43591.0,545935.0,116614.0,221452.0,487554.0,215713.0,486317.0,200641.0,53434.0,35429.0
Pennsylvania,04000US42,8714235.0,77378.0,995.0,701.0,2766.0,5609.0,10035.0,9000.0,14587.0,31128.0,30507.0,134501.0,122374.0,205306.0,218128.0,129083.0,2922222.0,348116.0,469680.0,973583.0,658863.0,1443083.0,643588.0,158025.0,104977.0
Puerto Rico,04000US72,2443515.0,71639.0,614.0,369.0,13583.0,22785.0,44723.0,58120.0,34202.0,88829.0,56741.0,70006.0,106753.0,43855.0,59886.0,33345.0,573636.0,74568.0,41672.0,263160.0,215478.0,416008.0,102061.0,31081.0,20401.0
Rhode Island,04000US44,712266.0,10763.0,0.0,0.0,715.0,1224.0,1995.0,3715.0,2330.0,7421.0,5014.0,12672.0,15250.0,17968.0,18035.0,11309.0,156391.0,31575.0,37840.0,96752.0,59485.0,134049.0,63669.0,15150.0,8944.0
South Carolina,04000US45,3110532.0,37709.0,110.0,460.0,1519.0,5001.0,7465.0,5909.0,9239.0,31314.0,26979.0,47577.0,64130.0,100007.0,99507.0,56077.0,825273.0,130236.0,182312.0,464860.0,266173.0,486569.0,189771.0,44678.0,27657.0
South Dakota,04000US46,537588.0,2455.0,23.0,58.0,28.0,108.0,618.0,616.0,489.0,1492.0,1570.0,14762.0,5240.0,8569.0,9254.0,5345.0,143131.0,25775.0,35385.0,88696.0,52340.0,97956.0,31868.0,6036.0,5774.0
Tennessee,04000US47,4294392.0,51680.0,754.0,697.0,1994.0,3929.0,10054.0,10283.0,12476.0,34956.0,30548.0,104740.0,83854.0,119371.0,135198.0,75988.0,1175995.0,259891.0,265493.0,643228.0,259365.0,655551.0,242616.0,65244.0,50487.0
Texas,04000US48,16074391.0,296519.0,2091.0,3295.0,24117.0,50675.0,112984.0,79684.0,107762.0,460243.0,143373.0,248473.0,476365.0,358188.0,412796.0,265662.0,3372752.0,726767.0,973065.0,2659620.0,1052281.0,2847501.0,995078.0,244266.0,160834.0
Utah,04000US49,1608668.0,11109.0,55.0,268.0,503.0,1598.0,1599.0,2693.0,3090.0,14403.0,5549.0,9913.0,16287.0,23254.0,35451.0,29492.0,340013.0,41538.0,127458.0,317462.0,148367.0,322983.0,108782.0,26231.0,20570.0
Vermont,04000US50,434652.0,2148.0,0.0,54.0,138.0,164.0,278.0,96.0,377.0,738.0,872.0,7116.0,4616.0,6710.0,7458.0,5062.0,116141.0,15078.0,24704.0,52544.0,36468.0,93188.0,43266.0,9837.0,7599.0
Virginia,04000US51,5418844.0,54932.0,808.0,614.0,2253.0,4462.0,8555.0,10111.0,16757.0,39841.0,44864.0,78053.0,82199.0,120033.0,118155.0,77251.0,1175670.0,212943.0,320897.0,766367.0,380585.0,1111225.0,575887.0,133180.0,83202.0
Washington,04000US53,4583426.0,49739.0,251.0,1333.0,2837.0,5626.0,10445.0,8563.0,13102.0,38507.0,12797.0,49724.0,45190.0,59696.0,77723.0,76271.0,915967.0,176541.0,352599.0,780230.0,445281.0,925095.0,384232.0,90773.0,60904.0
West Virginia,04000US54,1294198.0,9351.0,137.0,103.0,359.0,1038.0,1235.0,1599.0,2472.0,9162.0,13794.0,36135.0,32862.0,41601.0,39944.0,14580.0,453908.0,85115.0,73314.0,155756.0,82692.0,150916.0,62407.0,15973.0,9745.0
Wisconsin,04000US55,3831373.0,31738.0,451.0,205.0,993.0,1924.0,3393.0,3272.0,4755.0,14353.0,5396.0,63536.0,34086.0,59027.0,82858.0,63521.0,1132318.0,134577.0,257107.0,557127.0,366423.0,668444.0,249480.0,59397.0,36992.0
Wyoming,04000US56,375608.0,1156.0,0.0,145.0,63.0,195.0,257.0,55.0,193.0,915.0,653.0,3293.0,4464.0,6717.0,6940.0,5117.0,94903.0,20618.0,29888.0,70110.0,37078.0,61815.0,23028.0,4735.0,3270.0
