date,player,rank
2001-01-08,Amelie Mauresmo,16
2001-01-15,Amelie Mauresmo,20
2001-01-22,Amelie Mauresmo,20
2001-01-29,Amelie Mauresmo,19
2001-02-05,Amelie Mauresmo,19
2001-02-12,Amelie Mauresmo,14
2001-02-19,Amelie Mauresmo,12
2001-02-26,Amelie Mauresmo,13
2001-03-05,Amelie Mauresmo,13
2001-03-12,Amelie Mauresmo,13
2001-03-19,Amelie Mauresmo,13
2001-03-26,Amelie Mauresmo,13
2001-04-02,Amelie Mauresmo,14
2001-04-09,Amelie Mauresmo,15
2001-04-16,Amelie Mauresmo,9
2001-04-23,Amelie Mauresmo,7
2001-04-30,Amelie Mauresmo,7
2001-05-07,Amelie Mauresmo,9
2001-05-14,Amelie Mauresmo,6
2001-05-21,Amelie Mauresmo,5
2001-05-28,Amelie Mauresmo,5
2001-06-04,Amelie Mauresmo,5
2001-06-11,Amelie Mauresmo,6
2001-06-18,Amelie Mauresmo,6
2001-06-25,Amelie Mauresmo,6
2001-07-02,Amelie Mauresmo,6
2001-07-09,Amelie Mauresmo,7
2001-07-16,Amelie Mauresmo,7
2001-07-23,Amelie Mauresmo,7
2001-07-30,Amelie Mauresmo,7
2001-08-06,Amelie Mauresmo,7
2001-08-13,Amelie Mauresmo,7
2001-08-20,Amelie Mauresmo,8
2001-08-27,Amelie Mauresmo,7
2001-09-03,Amelie Mauresmo,7
2001-09-10,Amelie Mauresmo,6
2001-09-17,Amelie Mauresmo,6
2001-09-24,Amelie Mauresmo,6
2001-10-01,Amelie Mauresmo,6
2001-10-08,Amelie Mauresmo,6
2001-10-15,Amelie Mauresmo,6
2001-10-22,Amelie Mauresmo,7
2001-10-29,Amelie Mauresmo,7
2001-11-05,Amelie Mauresmo,9
2001-11-12,Amelie Mauresmo,9
2001-11-19,Amelie Mauresmo,9
2001-11-26,Amelie Mauresmo,9
2001-12-03,Amelie Mauresmo,9
2001-12-10,Amelie Mauresmo,9
2001-12-17,Amelie Mauresmo,9
2001-12-24,Amelie Mauresmo,9
2001-12-31,Amelie Mauresmo,9
2002-01-07,Amelie Mauresmo,9
2002-01-14,Amelie Mauresmo,9
2002-01-21,Amelie Mauresmo,9
2002-01-28,Amelie Mauresmo,8
2002-02-04,Amelie Mauresmo,8
2002-02-11,Amelie Mauresmo,10
2002-02-18,Amelie Mauresmo,10
2002-02-25,Amelie Mauresmo,10
2002-03-04,Amelie Mauresmo,10
2002-03-11,Amelie Mauresmo,10
2002-03-18,Amelie Mauresmo,10
2002-03-25,Amelie Mauresmo,10
2002-04-01,Amelie Mauresmo,10
2002-04-08,Amelie Mauresmo,10
2002-04-15,Amelie Mauresmo,10
2002-04-22,Amelie Mauresmo,10
2002-04-29,Amelie Mauresmo,10
2002-05-06,Amelie Mauresmo,10
2002-05-13,Amelie Mauresmo,11
2002-05-20,Amelie Mauresmo,12
2002-05-27,Amelie Mauresmo,12
2002-06-03,Amelie Mauresmo,12
2002-06-10,Amelie Mauresmo,11
2002-06-17,Amelie Mauresmo,11
2002-06-24,Amelie Mauresmo,11
2002-07-01,Amelie Mauresmo,11
2002-07-08,Amelie Mauresmo,10
2002-07-15,Amelie Mauresmo,10
2002-07-22,Amelie Mauresmo,10
2002-07-29,Amelie Mauresmo,10
2002-08-05,Amelie Mauresmo,10
2002-08-12,Amelie Mauresmo,10
2002-08-19,Amelie Mauresmo,9
2002-08-26,Amelie Mauresmo,9
2002-09-02,Amelie Mauresmo,9
2002-09-09,Amelie Mauresmo,7
2002-09-16,Amelie Mauresmo,6
2002-09-23,Amelie Mauresmo,6
2002-09-30,Amelie Mauresmo,7
2002-10-07,Amelie Mauresmo,4
2002-10-14,Amelie Mauresmo,4
2002-10-21,Amelie Mauresmo,4
2002-10-28,Amelie Mauresmo,5
2002-11-04,Amelie Mauresmo,5
2002-11-11,Amelie Mauresmo,6
2002-11-18,Amelie Mauresmo,6
2002-11-25,Amelie Mauresmo,6
2002-12-02,Amelie Mauresmo,6
2002-12-09,Amelie Mauresmo,6
2002-12-16,Amelie Mauresmo,6
2002-12-23,Amelie Mauresmo,6
2002-12-30,Amelie Mauresmo,6
2003-01-06,Amelie Mauresmo,6
2003-01-13,Amelie Mauresmo,6
2003-01-20,Amelie Mauresmo,6
2003-01-27,Amelie Mauresmo,7
2003-02-03,Amelie Mauresmo,7
2003-02-10,Amelie Mauresmo,6
2003-02-17,Amelie Mauresmo,7
2003-02-24,Amelie Mauresmo,8
2003-03-03,Amelie Mauresmo,8
2003-03-10,Amelie Mauresmo,8
2003-03-17,Amelie Mauresmo,7
2003-03-24,Amelie Mauresmo,7
2003-03-31,Amelie Mauresmo,7
2003-04-07,Amelie Mauresmo,7
2003-04-14,Amelie Mauresmo,7
2003-04-21,Amelie Mauresmo,7
2003-04-28,Amelie Mauresmo,7
2003-05-05,Amelie Mauresmo,6
2003-05-12,Amelie Mauresmo,6
2003-05-19,Amelie Mauresmo,5
2003-05-26,Amelie Mauresmo,5
2003-06-02,Amelie Mauresmo,5
2003-06-09,Amelie Mauresmo,6
2003-06-16,Amelie Mauresmo,6
2003-06-23,Amelie Mauresmo,6
2003-06-30,Amelie Mauresmo,6
2003-07-07,Amelie Mauresmo,6
2003-07-14,Amelie Mauresmo,6
2003-07-21,Amelie Mauresmo,6
2003-07-28,Amelie Mauresmo,6
2003-08-04,Amelie Mauresmo,6
2003-08-11,Amelie Mauresmo,6
2003-08-18,Amelie Mauresmo,6
2003-08-25,Amelie Mauresmo,6
2003-09-01,Amelie Mauresmo,6
2003-09-08,Amelie Mauresmo,7
2003-09-15,Amelie Mauresmo,7
2003-09-22,Amelie Mauresmo,7
2003-09-29,Amelie Mauresmo,7
2003-10-06,Amelie Mauresmo,7
2003-10-13,Amelie Mauresmo,7
2003-10-20,Amelie Mauresmo,7
2003-10-27,Amelie Mauresmo,7
2003-11-03,Amelie Mauresmo,6
2003-11-10,Amelie Mauresmo,4
2003-11-17,Amelie Mauresmo,4
2003-11-24,Amelie Mauresmo,4
2003-12-01,Amelie Mauresmo,4
2003-12-08,Amelie Mauresmo,4
2003-12-15,Amelie Mauresmo,4
2003-12-22,Amelie Mauresmo,4
2003-12-29,Amelie Mauresmo,4
2004-01-05,Amelie Mauresmo,4
2004-01-12,Amelie Mauresmo,4
2004-01-19,Amelie Mauresmo,4
2004-01-26,Amelie Mauresmo,4
2004-02-02,Amelie Mauresmo,3
2004-02-09,Amelie Mauresmo,3
2004-02-16,Amelie Mauresmo,3
2004-02-23,Amelie Mauresmo,3
2004-03-01,Amelie Mauresmo,3
2004-03-08,Amelie Mauresmo,3
2004-03-15,Amelie Mauresmo,3
2004-03-22,Amelie Mauresmo,3
2004-03-29,Amelie Mauresmo,3
2004-04-05,Amelie Mauresmo,3
2004-04-12,Amelie Mauresmo,3
2004-04-19,Amelie Mauresmo,3
2004-04-26,Amelie Mauresmo,3
2004-05-03,Amelie Mauresmo,3
2004-05-10,Amelie Mauresmo,3
2004-05-17,Amelie Mauresmo,3
2004-05-24,Amelie Mauresmo,3
2004-05-31,Amelie Mauresmo,3
2004-06-07,Amelie Mauresmo,4
2004-06-14,Amelie Mauresmo,4
2004-06-21,Amelie Mauresmo,4
2004-06-28,Amelie Mauresmo,4
2004-07-05,Amelie Mauresmo,3
2004-07-12,Amelie Mauresmo,3
2004-07-19,Amelie Mauresmo,3
2004-07-26,Amelie Mauresmo,3
2004-08-02,Amelie Mauresmo,3
2004-08-09,Amelie Mauresmo,2
2004-08-16,Amelie Mauresmo,2
2004-08-23,Amelie Mauresmo,2
2004-08-30,Amelie Mauresmo,2
2004-09-06,Amelie Mauresmo,2
2004-09-13,Amelie Mauresmo,1
2004-09-20,Amelie Mauresmo,1
2004-09-27,Amelie Mauresmo,1
2004-10-04,Amelie Mauresmo,1
2004-10-11,Amelie Mauresmo,1
2004-10-18,Amelie Mauresmo,2
2004-10-25,Amelie Mauresmo,2
2004-11-01,Amelie Mauresmo,2
2004-11-08,Amelie Mauresmo,2
2004-11-15,Amelie Mauresmo,2
2004-11-22,Amelie Mauresmo,2
2004-11-29,Amelie Mauresmo,2
2004-12-06,Amelie Mauresmo,2
2004-12-13,Amelie Mauresmo,2
2004-12-20,Amelie Mauresmo,2
2004-12-27,Amelie Mauresmo,2
2005-01-03,Amelie Mauresmo,2
2005-01-10,Amelie Mauresmo,2
2005-01-17,Amelie Mauresmo,2
2005-01-24,Amelie Mauresmo,2
2005-01-31,Amelie Mauresmo,3
2005-02-07,Amelie Mauresmo,4
2005-02-14,Amelie Mauresmo,2
2005-02-21,Amelie Mauresmo,2
2005-02-28,Amelie Mauresmo,2
2005-03-07,Amelie Mauresmo,2
2005-03-14,Amelie Mauresmo,2
2005-03-21,Amelie Mauresmo,2
2005-03-28,Amelie Mauresmo,2
2005-04-04,Amelie Mauresmo,2
2005-04-11,Amelie Mauresmo,3
2005-04-18,Amelie Mauresmo,3
2005-04-25,Amelie Mauresmo,3
2005-05-02,Amelie Mauresmo,3
2005-05-09,Amelie Mauresmo,3
2005-05-16,Amelie Mauresmo,3
2005-05-23,Amelie Mauresmo,3
2005-05-30,Amelie Mauresmo,3
2005-06-06,Amelie Mauresmo,3
2005-06-13,Amelie Mauresmo,3
2005-06-20,Amelie Mauresmo,3
2005-06-27,Amelie Mauresmo,3
2005-07-04,Amelie Mauresmo,3
2005-07-11,Amelie Mauresmo,3
2005-07-18,Amelie Mauresmo,3
2005-07-25,Amelie Mauresmo,3
2005-08-01,Amelie Mauresmo,3
2005-08-08,Amelie Mauresmo,3
2005-08-15,Amelie Mauresmo,3
2005-08-22,Amelie Mauresmo,3
2005-08-29,Amelie Mauresmo,3
2005-09-05,Amelie Mauresmo,3
2005-09-12,Amelie Mauresmo,4
2005-09-19,Amelie Mauresmo,4
2005-09-26,Amelie Mauresmo,4
2005-10-03,Amelie Mauresmo,4
2005-10-10,Amelie Mauresmo,4
2005-10-17,Amelie Mauresmo,4
2005-10-24,Amelie Mauresmo,4
2005-10-31,Amelie Mauresmo,4
2005-11-07,Amelie Mauresmo,4
2005-11-14,Amelie Mauresmo,3
2005-11-21,Amelie Mauresmo,3
2005-11-28,Amelie Mauresmo,3
2005-12-05,Amelie Mauresmo,3
2005-12-12,Amelie Mauresmo,3
2005-12-19,Amelie Mauresmo,3
2005-12-26,Amelie Mauresmo,3
2006-01-02,Amelie Mauresmo,3
2006-01-09,Amelie Mauresmo,3
2006-01-16,Amelie Mauresmo,3
2006-01-23,Amelie Mauresmo,3
2006-01-30,Amelie Mauresmo,2
2006-02-06,Amelie Mauresmo,2
2006-02-13,Amelie Mauresmo,2
2006-02-20,Amelie Mauresmo,2
2006-02-27,Amelie Mauresmo,2
2006-03-06,Amelie Mauresmo,2
2006-03-13,Amelie Mauresmo,2
2006-03-20,Amelie Mauresmo,1
2006-03-27,Amelie Mauresmo,1
2006-04-03,Amelie Mauresmo,1
2006-04-10,Amelie Mauresmo,1
2006-04-17,Amelie Mauresmo,1
2006-04-24,Amelie Mauresmo,1
2006-05-01,Amelie Mauresmo,1
2006-05-08,Amelie Mauresmo,1
2006-05-15,Amelie Mauresmo,1
2006-05-22,Amelie Mauresmo,1
2006-05-29,Amelie Mauresmo,1
2006-06-05,Amelie Mauresmo,1
2006-06-12,Amelie Mauresmo,1
2006-06-19,Amelie Mauresmo,1
2006-06-26,Amelie Mauresmo,1
2006-07-03,Amelie Mauresmo,1
2006-07-10,Amelie Mauresmo,1
2006-07-17,Amelie Mauresmo,1
2006-07-24,Amelie Mauresmo,1
2006-07-31,Amelie Mauresmo,1
2006-08-07,Amelie Mauresmo,1
2006-08-14,Amelie Mauresmo,1
2006-08-21,Amelie Mauresmo,1
2006-08-28,Amelie Mauresmo,1
2006-09-04,Amelie Mauresmo,1
2006-09-11,Amelie Mauresmo,1
2006-09-18,Amelie Mauresmo,1
2006-09-25,Amelie Mauresmo,1
2006-10-02,Amelie Mauresmo,1
2006-10-09,Amelie Mauresmo,1
2006-10-16,Amelie Mauresmo,1
2006-10-23,Amelie Mauresmo,1
2006-10-30,Amelie Mauresmo,1
2006-11-06,Amelie Mauresmo,1
2006-11-13,Amelie Mauresmo,3
2006-11-20,Amelie Mauresmo,3
2006-11-27,Amelie Mauresmo,3
2006-12-04,Amelie Mauresmo,3
2006-12-11,Amelie Mauresmo,3
2006-12-18,Amelie Mauresmo,3
2006-12-25,Amelie Mauresmo,3
2007-01-01,Amelie Mauresmo,3
2007-01-08,Amelie Mauresmo,3
2007-01-15,Amelie Mauresmo,3
2007-01-22,Amelie Mauresmo,3
2007-01-29,Amelie Mauresmo,3
2007-02-05,Amelie Mauresmo,3
2007-02-12,Amelie Mauresmo,3
2007-02-19,Amelie Mauresmo,3
2007-02-26,Amelie Mauresmo,3
2007-03-05,Amelie Mauresmo,3
2007-03-12,Amelie Mauresmo,3
2007-03-19,Amelie Mauresmo,4
2007-03-26,Amelie Mauresmo,4
2007-04-02,Amelie Mauresmo,3
2007-04-09,Amelie Mauresmo,3
2007-04-16,Amelie Mauresmo,3
2007-04-23,Amelie Mauresmo,3
2007-04-30,Amelie Mauresmo,3
2007-05-07,Amelie Mauresmo,3
2007-05-14,Amelie Mauresmo,4
2007-05-21,Amelie Mauresmo,5
2007-05-28,Amelie Mauresmo,4
2007-06-04,Amelie Mauresmo,4
2007-06-11,Amelie Mauresmo,4
2007-06-18,Amelie Mauresmo,4
2007-06-25,Amelie Mauresmo,4
2007-07-02,Amelie Mauresmo,4
2007-07-09,Amelie Mauresmo,6
2007-07-16,Amelie Mauresmo,6
2007-07-23,Amelie Mauresmo,6
2007-07-30,Amelie Mauresmo,7
2007-08-06,Amelie Mauresmo,7
2007-08-13,Amelie Mauresmo,7
2007-08-20,Amelie Mauresmo,7
2007-08-27,Amelie Mauresmo,7
2007-09-03,Amelie Mauresmo,7
2007-09-10,Amelie Mauresmo,11
