player,weeks
Steffi Graf,377
Martina Navratilova,214
Martina Hingis,209
Serena Williams,197
Monica Seles,178
Justine Henin,117
Lindsay Davenport,98
Caroline Wozniacki,67
Victoria Azarenka,51
Amelie Mauresmo,39
Dinara Safina,26
Maria Sharapova,21
Chris Evert,20
Kim Clijsters,20
Jelena Jankovic,18
Jennifer Capriati,17
Ana Ivanovic,12
Arantxa Sanchez-Vicario,12
Venus Williams,11
Evonne Goolagong Cawley,2
