point,x,y,hitBy,shotType,result
71,76,373,Safina,Forehand Return,Winner
71,201,162,Cibulkova,First Serve,In
72,141,151,Cibulkova,First Serve,Forced Error
73,76,96,Cibulkova,Backhand,Winner
73,249,149,Cibulkova,First Serve,In
74,228,41,Safina,Forehand,Unforced Error
74,146,145,Safina,First Serve,In
75,279,150,Safina,First Serve,Forced Error
76,290,76,Safina,Backhand,Unforced Error
76,161,146,Safina,Second Serve,In
76,160,136,Safina,First Serve,Out
77,289,149,Safina,Second Serve,Out
77,175,144,Safina,First Serve,Out
78,102,429,Cibulkova,Forehand,Unforced Error
78,156,150,Safina,First Serve,In
79,281,87,Safina,Backhand,Forced Error
79,275,156,Safina,First Serve,In
80,240,424,Cibulkova,Backhand,Unforced Error
80,78,166,Safina,First Serve,In
81,230,136,Safina,Second Serve,Out
81,236,232,Safina,First Serve,Out
82,92,427,Cibulkova,Forehand,Unforced Error
82,88,154,Safina,First Serve,In
83,298,407,Cibulkova,Forehand,Unforced Error
83,278,175,Safina,First Serve,In
84,150,428,Cibulkova,Backhand,Unforced Error
84,230,308,Cibulkova,Second Serve,In
84,230,334,Cibulkova,First Serve,Out
85,248,233,Cibulkova,Drop Shot,Unforced Error
85,165,318,Cibulkova,First Serve,In
86,126,41,Safina,Backhand,Unforced Error
86,221,314,Cibulkova,First Serve,In
87,161,318,Cibulkova,First Serve,Forced Error
88,272,321,Cibulkova,First Serve,Forced Error
89,45,52,Safina,Forehand,Unforced Error
89,150,320,Cibulkova,First Serve,In
90,88,431,Safina,Forehand,Unforced Error
90,260,315,Safina,First Serve,In
91,272,53,Cibulkova,Backhand,Forced Error
91,115,318,Safina,First Serve,In
92,281,305,Safina,First Serve,Forced Error
93,103,43,Cibulkova,Backhand,Unforced Error
93,109,325,Safina,First Serve,In
94,284,307,Safina,First Serve,Forced Error
95,154,425,Safina,Backhand,Unforced Error
95,82,316,Safina,First Serve,In
96,283,317,Safina,First Serve,Forced Error
97,290,38,Cibulkova,Backhand,Unforced Error
97,165,313,Safina,First Serve,In
