point,x,y,hitBy,shotType,result
71,113,233,Federer,First Serve,Out
72,293,68,Federer,Forehand,Unforced Error
72,251,151,Federer,First Serve,In
73,61,406,Federer,Backhand,Unforced Error
73,169,152,Nadal,First Serve,In
74,232,411,Federer,Backhand Return,Forced Error
74,274,142,Nadal,First Serve,In
75,150,140,Nadal,First Serve,Forced Error
76,105,48,Nadal,Backhand,Forced Error
76,273,162,Nadal,First Serve,In
77,175,149,Nadal,First Serve,Forced Error
78,142,233,Federer,Backhand,Unforced Error
78,263,317,Federer,Second Serve,In
78,289,318,Federer,First Serve,Out
79,102,163,Nadal,Backhand Pass,Forced Error
79,164,313,Federer,First Serve,In
80,108,366,Federer,Forehand Volley,Winner
80,282,319,Federer,First Serve,In
81,263,73,Nadal,Forehand,Winner
81,169,313,Federer,Second Serve,In
81,123,233,Federer,First Serve,Out
82,86,74,Nadal,Forehand,Winner
82,189,305,Federer,Second Serve,In
82,177,315,Federer,First Serve,Out
83,110,66,Federer,Forehand Volley,Forced Error
83,186,300,Nadal,First Serve,In
84,104,234,Federer,Forehand,Unforced Error
84,86,309,Nadal,First Serve,In
85,68,400,Nadal,Forehand Pass,Unforced Error
85,203,312,Nadal,Second Serve,In
85,194,335,Nadal,First Serve,Out
86,115,149,Federer,Forehand Volley,Forced Error
86,140,319,Nadal,First Serve,In
87,97,233,Nadal,Backhand,Unforced Error
87,188,313,Nadal,First Serve,In
88,104,397,Nadal,Forehand,Winner
88,92,171,Federer,Second Serve,In
88,156,136,Federer,First Serve,Out
89,251,391,Nadal,Forehand,Forced Error
89,197,160,Federer,Second Serve,In
89,211,232,Federer,First Serve,Out
90,244,82,Federer,Backhand Volley,Winner
90,76,161,Federer,First Serve,In
91,265,262,Nadal,Drop Shot,Forced Error
91,190,153,Federer,First Serve,In
92,75,164,Federer,First Serve,Ace
93,251,99,Federer,Forehand Volley,Winner
93,185,146,Federer,First Serve,In
94,151,144,Federer,First Serve,Forced Error
95,283,152,Federer,First Serve,Forced Error
96,270,361,Federer,Backhand,Winner
96,165,156,Nadal,First Serve,In
97,143,41,Nadal,Forehand,Unforced Error
97,254,166,Nadal,Second Serve,In
97,291,155,Nadal,First Serve,Out
98,277,69,Nadal,Forehand,Forced Error
98,159,144,Nadal,First Serve,In
99,238,233,Nadal,Forehand,Unforced Error
99,249,145,Nadal,First Serve,In
100,252,398,Federer,Forehand,Forced Error
100,152,147,Nadal,Second Serve,In
100,94,232,Nadal,First Serve,Out
101,108,390,Federer,Backhand Volley,Winner
101,272,312,Federer,Second Serve,In
101,198,233,Federer,First Serve,Out
102,116,420,Federer,Forehand,Forced Error
102,106,308,Federer,First Serve,In
103,253,254,Federer,Forehand,Winner
103,188,306,Federer,First Serve,In
104,99,303,Federer,First Serve,Forced Error
105,181,314,Nadal,First Serve,Ace
106,94,64,Federer,Forehand Volley,Winner
106,159,323,Nadal,First Serve,In
107,186,310,Nadal,First Serve,Forced Error
108,78,306,Nadal,First Serve,Ace
109,91,233,Nadal,Forehand,Unforced Error
109,199,301,Nadal,First Serve,In
110,189,41,Federer,Forehand,Unforced Error
110,94,314,Nadal,First Serve,In
111,166,273,Nadal,Forehand Return,Forced Error
111,95,169,Federer,Second Serve,In
111,166,233,Federer,First Serve,Out
112,265,55,Federer,Forehand,Forced Error
112,190,156,Federer,First Serve,In
113,96,81,Federer,Forehand Volley,Winner
113,106,164,Federer,Second Serve,In
113,65,151,Federer,First Serve,Out
114,224,42,Federer,Forehand,Unforced Error
114,276,164,Federer,Second Serve,In
114,264,232,Federer,First Serve,Out
115,245,191,Federer,Backhand Volley,Winner
115,171,170,Federer,First Serve,In
116,246,232,Federer,Backhand,Unforced Error
116,277,176,Federer,First Serve,In
