vs,opponent,player
Simone Bolelli,2,6
Simone Bolelli,2,6
Simone Bolelli,1,6
Denis Istomin,2,6
Denis Istomin,2,6
Denis Istomin,0,6
Eduardo Schwank,1,6
Eduardo Schwank,3,6
Eduardo Schwank,4,6
Juan Monaco,2,6
Juan Monaco,0,6
Juan Monaco,0,6
Nicolas Almagro,6,7
Nicolas Almagro,2,6
Nicolas Almagro,3,6
David Ferrer,2,6
David Ferrer,2,6
David Ferrer,1,6
